iter	Passed	Remaining
431	2473	389
432	2478	383
433	2483	377
434	2488	371
435	2493	366
436	2499	360
437	2504	354
438	2509	348
439	2514	342
440	2519	337
441	2524	331
442	2530	325
443	2535	319
444	2540	314
445	2545	308
446	2551	302
447	2556	296
448	2561	290
449	2567	285
450	2572	279
451	2578	273
452	2583	268
453	2589	262
454	2594	256
455	2600	250
456	2605	245
457	2610	239
458	2615	233
459	2621	227
460	2626	222
461	2631	216
462	2636	210
463	2642	204
464	2647	199
465	2652	193
466	2657	187
467	2663	182
468	2668	176
469	2673	170
470	2678	164
471	2683	159
472	2688	153
473	2694	147
474	2700	142
475	2705	136
476	2711	130
477	2716	125
478	2722	119
479	2727	113
480	2733	107
481	2739	102
482	2745	96
483	2750	90
484	2756	85
485	2762	79
486	2768	73
487	2773	68
488	2778	62
489	2784	56
490	2789	51
491	2794	45
492	2800	39
493	2807	34
494	2814	28
495	2820	22
496	2826	17
497	2832	11
498	2837	5
499	2842	0
