iter	F1	Logloss
151	0.8647100931	0.3196584707
152	0.8648455207	0.3192546004
153	0.8654901026	0.3188170893
154	0.8653548002	0.3184930443
155	0.8654580153	0.3177779073
156	0.8658711217	0.3173214661
157	0.8657678081	0.3168746879
158	0.8661417323	0.3164374226
159	0.86597446	0.3159643515
160	0.8661736641	0.3156847877
161	0.8659424615	0.3152167059
162	0.8664199594	0.3148694541
163	0.8668575519	0.3145902026
164	0.8677172875	0.3141368516
165	0.8677804296	0.3137647233
166	0.867811978	0.3136261391
167	0.867811978	0.3135099366
168	0.8679155232	0.3130840896
169	0.86849642	0.3126939895
170	0.8682577566	0.3122807607
171	0.869451074	0.3119470201
172	0.8693887297	0.3116182097
173	0.8696275072	0.3112491957
174	0.8696275072	0.3110665853
175	0.8698662846	0.3105622549
176	0.8705096074	0.3100835252
177	0.8707482993	0.3097253987
178	0.8704786917	0.3094283963
179	0.8707174406	0.3091358784
180	0.8709253731	0.3088807271
181	0.8705517077	0.3085907103
182	0.871133405	0.3083385511
183	0.8712682111	0.3079826733
184	0.8714336875	0.3076108929
185	0.871641791	0.307345391
186	0.871372268	0.3069780137
187	0.8712682111	0.3066818587
188	0.8715804563	0.3063977227
189	0.8719235364	0.3061483832
190	0.8727142345	0.3058064809
191	0.8728185513	0.3056341811
192	0.8731013037	0.3051825906
193	0.8732057416	0.3049584989
194	0.8732057416	0.3047290491
195	0.8734752452	0.3044420688
196	0.8736099486	0.3042389223
197	0.8739535996	0.3040296512
198	0.8739837398	0.303712843
199	0.8740882458	0.3033322635
200	0.8744019139	0.3029663889
201	0.8745365387	0.3026046926
202	0.8745065199	0.3020683636
203	0.87517934	0.3017169654
204	0.8758076095	0.3014196772
205	0.8768991506	0.3011487354
206	0.8768696901	0.3008769124
207	0.8765550239	0.3006332077
208	0.8767188808	0.3004397321
209	0.8766893912	0.3000136752
210	0.8770629036	0.2997078683
211	0.8767942584	0.2994753339
212	0.877004068	0.2991668072
213	0.8768991506	0.2989508015
214	0.877004068	0.2987069143
215	0.8775412581	0.2984556988
216	0.8778854204	0.2980074551
217	0.8780196125	0.2977607863
218	0.8781713739	0.2974820816
219	0.8779320249	0.2971317828
220	0.8783638321	0.2967977335
221	0.8786791098	0.2965410744
222	0.8787842527	0.296382116
223	0.8788894208	0.2961828877
224	0.8785158588	0.2959071599
225	0.8787262062	0.2956167766
226	0.8790998324	0.2952901943
227	0.8785628743	0.2949205016
228	0.8790998324	0.2944214209
229	0.879741534	0.294136679
230	0.8798755683	0.293886149
231	0.8798755683	0.2937230552
232	0.8797127469	0.2932591697
233	0.879741534	0.2929085043
234	0.8799808544	0.2926559595
235	0.8802201747	0.2923498259
236	0.880459495	0.2921539295
237	0.88011486	0.2917607388
238	0.8804022507	0.2915150642
239	0.8803255146	0.2913106664
240	0.8802488336	0.2909156684
241	0.8803827751	0.290752729
242	0.8809096349	0.2903913749
243	0.8808811206	0.2899543759
244	0.8807471264	0.2896920613
245	0.8808525925	0.2894110983
246	0.8814087207	0.2890320376
247	0.8814087207	0.2887675596
248	0.8814087207	0.288487138
249	0.8816199377	0.2882718598
250	0.8818595734	0.2879920874
251	0.8819652487	0.287644082
252	0.8820709492	0.2875134869
253	0.8822824263	0.2873574365
254	0.8822824263	0.2869736533
255	0.8825221769	0.2865435453
256	0.8826561189	0.286198754
257	0.8826279823	0.2859398087
258	0.8829736211	0.2855577082
259	0.8830795059	0.2853521713
260	0.8830795059	0.2852152204
261	0.8835870999	0.2847968504
262	0.8840666587	0.284463404
263	0.8848412223	0.2841096722
264	0.8849472675	0.2839762031
265	0.8848920863	0.2836497692
266	0.8854541098	0.28332776
267	0.8857725039	0.2829936752
268	0.8862519477	0.2826624273
269	0.886173017	0.2823748767
270	0.8859575489	0.2820986782
271	0.8862763916	0.2816951934
272	0.8866498741	0.2815349745
273	0.8865163148	0.2812876621
274	0.8871548619	0.2810597169
275	0.886756238	0.2807752335
276	0.8868354734	0.2805971242
277	0.8869690425	0.2804016136
278	0.8872090233	0.2801423072
279	0.8872090233	0.2799142959
280	0.8871025795	0.2797380511
281	0.8869690425	0.2794224038
282	0.887075483	0.279239081
283	0.8874219875	0.2790400013
284	0.8874219875	0.2788290778
285	0.8876620259	0.2784624618
286	0.8876620259	0.2783215936
287	0.8885422915	0.2781377777
288	0.8886489081	0.2780071025
289	0.8888888889	0.2777333257
290	0.8889688249	0.2773748773
291	0.888915547	0.2771802016
292	0.8897685019	0.2768186424
293	0.8899016551	0.276642898
294	0.8897949394	0.2763943983
295	0.8899016551	0.2762049266
296	0.8895815849	0.2758409255
297	0.8895815849	0.2756256776
298	0.8896882494	0.2754013097
299	0.8897949394	0.2752205458
300	0.8897949394	0.2750489663
301	0.8897949394	0.2747979901
302	0.8900083963	0.2745892943
303	0.8900083963	0.2742366893
304	0.8898752399	0.2739291972
305	0.8899820036	0.2736062745
306	0.890675627	0.2732968733
307	0.8908087353	0.273096323
308	0.890889449	0.2729384789
309	0.891262602	0.2726745322
310	0.8913695835	0.2724940425
311	0.8917166867	0.2722197193
312	0.8917426788	0.2719927285
313	0.8916096507	0.2718000174
314	0.8914505283	0.2715574448
315	0.8918237483	0.2713111262
316	0.8918497179	0.2710317283
317	0.8919567827	0.2709106533
318	0.8920379488	0.2706408432
319	0.8921709894	0.2704177535
320	0.8921709894	0.2700950916
321	0.8922781314	0.2697949716
322	0.8924924925	0.2696982771
323	0.8925997117	0.2694431146
324	0.8932692308	0.2692493478
325	0.8927069566	0.2690593863
326	0.8931618796	0.2687864547
327	0.8932692308	0.2686325976
328	0.8932692308	0.2684176287
329	0.8933766078	0.2683008347
330	0.8935607881	0.2680656475
331	0.8934840106	0.2678191549
332	0.8933509679	0.2676042199
333	0.8932435682	0.2674035639
334	0.8933766078	0.267222909
335	0.8935096154	0.2669372661
336	0.8935096154	0.2667878489
337	0.8939084465	0.2665870433
338	0.8935607881	0.2663657985
339	0.8938265674	0.2660686553
340	0.8936681485	0.265733805
341	0.8934278505	0.2655079978
342	0.8938010572	0.265235334
343	0.8943323727	0.2650441833
344	0.8941741742	0.2647355913
345	0.8940667788	0.2644826741
346	0.8941741742	0.2643633446
347	0.8941741742	0.2642280311
348	0.8940413263	0.2639352639
349	0.8941487444	0.2636693433
350	0.8941487444	0.2634716516
351	0.8942815954	0.2632495226
352	0.8943382618	0.2630006196
353	0.8948190888	0.2626762292
354	0.8948190888	0.2624771832
355	0.8946546547	0.2622611572
356	0.8948948949	0.2621257609
357	0.8951603218	0.2619211822
358	0.89572321	0.2617577972
359	0.8959884699	0.261526989
360	0.8959884699	0.2613863154
361	0.8960134486	0.2611332506
362	0.896493756	0.2609366946
363	0.8967587035	0.2606662103
364	0.8964358574	0.2604696193
365	0.8962536023	0.2601931159
366	0.8963612345	0.2599282006
367	0.8961459959	0.2597786996
368	0.8960384154	0.25953078
369	0.8960384154	0.2593862301
370	0.8961459959	0.2591865868
371	0.8961459959	0.2588905352
372	0.8962785114	0.2587449515
373	0.8967006599	0.2585511213
374	0.8968330134	0.2583694503
375	0.8969653353	0.2582165106
376	0.8972545258	0.2579789179
377	0.8974697206	0.2577695006
378	0.8974205159	0.2575831885
379	0.8975527831	0.2573859047
380	0.8976604679	0.2571893532
381	0.8975527831	0.257000404
382	0.8980081593	0.2568247565
383	0.8986794718	0.2565350139
384	0.8986794718	0.2562859018
385	0.8986794718	0.2561504549
386	0.8988116673	0.255929664
387	0.8988116673	0.2557302071
388	0.898943831	0.2555598462
389	0.8989195678	0.2552792193
390	0.8989195678	0.255040737
391	0.8992080634	0.2549012551
392	0.8990517345	0.2546885446
393	0.8992676192	0.2544143623
394	0.8991596639	0.2542700757
395	0.899243425	0.2540731129
396	0.8993756004	0.253926334
397	0.8994836075	0.2537314774
398	0.8993514293	0.2535800471
399	0.8993756004	0.2533790945
400	0.8996157541	0.2532471874
401	0.8997237901	0.2530701226
402	0.8994836075	0.2529181591
403	0.8995916406	0.2526438793
404	0.8999879938	0.2524725058
405	0.9002281186	0.2522569252
406	0.9002281186	0.2520461012
407	0.9002281186	0.2519038466
408	0.9006002401	0.2517158676
409	0.900732205	0.251596459
410	0.9011041767	0.2513625141
411	0.9009960398	0.2511336331
412	0.9009484932	0.250784539
413	0.9009484932	0.2505813264
414	0.9009484932	0.2504253013
415	0.9010091302	0.2501516673
416	0.9009009009	0.2499901098
417	0.9009009009	0.2498536753
418	0.90129683	0.2496164278
419	0.9015369837	0.249488802
420	0.9014287429	0.249355881
421	0.9013205282	0.2491350036
422	0.90129683	0.248904813
423	0.9014287429	0.248652088
424	0.9016924739	0.2484900196
425	0.9019089927	0.2483407981
426	0.9023423423	0.2481610462
427	0.9021021021	0.2480662646
428	0.9022574448	0.2479430939
429	0.9021256155	0.2478056328
430	0.9023892424	0.2476895989
431	0.9021256155	0.2474275975
432	0.9024975985	0.2472826199
433	0.902931283	0.2471050685
434	0.9030863456	0.2469983828
435	0.9030863456	0.2467428123
436	0.9029546	0.2466205913
437	0.902931283	0.2464644906
438	0.9031715521	0.2462950658
439	0.9034350228	0.2460550892
440	0.9040009612	0.2458602352
441	0.9039154456	0.2456302835
442	0.9039154456	0.2455036214
443	0.9042872583	0.245275114
444	0.904418828	0.2451317852
445	0.9048762911	0.2449757444
446	0.904984985	0.2448837469
447	0.9048305696	0.2447281099
448	0.9046360798	0.2445637096
449	0.9048534358	0.2443092225
450	0.9047447447	0.2441376417
451	0.9050708964	0.2439767407
452	0.9046131667	0.2437848867
453	0.9048305696	0.2436695367
454	0.9049621531	0.2434111623
455	0.9049621531	0.2432359713
456	0.9053972833	0.2429712164
457	0.9053972833	0.2427493171
458	0.9054200216	0.2426271854
459	0.9054200216	0.2424167116
460	0.9058781103	0.2422568345
461	0.9060096154	0.2420816139
462	0.90625	0.2417829474
463	0.9063364194	0.241613945
464	0.9063589374	0.2414649493
465	0.906817362	0.2412821612
466	0.906817362	0.2411177242
467	0.9069487858	0.241002345
468	0.906817362	0.2408400795
469	0.9070578334	0.2407233743
470	0.9070578334	0.2404902871
471	0.9070578334	0.2403332796
472	0.9070578334	0.2401843662
473	0.9073205914	0.2400771334
474	0.9073205914	0.2398683788
475	0.9072983047	0.2397062017
476	0.9072760072	0.2395674175
477	0.9072983047	0.2394823968
478	0.9074074074	0.2393470954
479	0.9074296706	0.2392336126
480	0.9079326923	0.2389959745
481	0.9078014184	0.2388693842
482	0.9078235789	0.23870254
483	0.9075610049	0.2385021393
484	0.9078014184	0.2383568049
485	0.9076923077	0.2382652096
486	0.9075610049	0.2380445563
487	0.9080197186	0.2378535071
488	0.9078662497	0.2376293264
489	0.9079975947	0.2375510731
490	0.9077570655	0.2373893114
491	0.9077570655	0.2372430076
492	0.907538776	0.2371172232
493	0.9076479076	0.2369935087
494	0.9077792473	0.2368935222
495	0.9078884079	0.236654412
496	0.9084134615	0.2364330939
497	0.9084134615	0.2362701687
498	0.9084134615	0.2360728505
499	0.9084134615	0.235842792
